año,mes,valor
2011,01,4.11
2011,02,4.13
2011,03,4.15
2011,04,4.16
2011,05,4.27
2011,06,4.31
2011,07,4.28
2011,08,4.32
2011,09,4.42
2011,10,4.42
2011,11,4.62
2011,12,4.75
2012,01,4.75
2012,02,4.78
2012,03,4.7
2012,04,4.89
2012,05,5.08
2012,06,5.95
2012,07,5.96
2012,08,6.27
2012,09,6.34
2012,10,6.26
2012,11,6.34
2012,12,6.44
2013,01,6.91
2013,02,7.92
2013,03,7.84
2013,04,8.3
2013,05,9.63
2013,06,8.6
2013,07,7.98
2013,08,8.54
2013,09,9.22
2013,10,9.53
2013,11,9.93
2013,12,9.18
2014,01,10.17
2014,02,12.55
2014,03,10.55
2014,04,10.8
2014,05,10.5
2014,06,11.4
2014,07,12.05
2014,08,12.8
2014,09,14.2
2014,10,15.6
2014,11,13.9
2014,12,13.1
2015,01,13.8
2015,02,13.38
2015,03,13.0
2015,04,12.55
2015,05,12.61
2015,06,12.63
2015,07,13.55
2015,08,14.89
2015,09,15.51
2015,10,15.88
2015,11,15.63
2015,12,14.49
2016,01,14.2
2016,02,14.4
2016,03,15.95
2016,04,15.21
2016,05,14.66
2016,06,14.43
2016,07,15.05
2016,08,15.49
2016,09,15.28
2016,10,15.66
2016,11,15.43
2016,12,16.25
2017,01,16.99
2017,02,16.61
2017,03,16.24
2017,04,15.99
2017,05,15.97
2017,06,16.3
2017,07,16.91
2017,08,18.09
2017,09,18.15
2017,10,17.96
2017,11,18.03
2017,12,18.01
2018,01,19.25
2018,02,19.93
2018,03,20.4
2018,04,20.82
2018,05,21.5
2018,06,26.0
2018,07,29.3
2018,08,28.45
2018,09,38.7
2018,10,40.0
2018,11,36.25
2018,12,37.0
2019,01,40.5
2019,02,37.75
2019,03,39.0
2019,04,43.5
2019,05,46.25
2019,06,46.1
2019,07,43.45
2019,08,45.43
2019,09,63.5
2019,10,60.75
2019,11,67.5
2019,12,68.25
2020,01,77.0
2020,02,78.0
2020,03,78.5
2020,04,83.5
2020,05,120.0
2020,06,128.0
2020,07,128.0
2020,08,136.0
2020,09,133.0
2020,10,147.0
2020,11,168.0
2020,12,153.0
2021,01,165.0
2021,02,154.0
2021,03,147.0
2021,04,141.0
2021,05,153.0
2021,06,155.0
2021,07,169.0
2021,08,180.5
2021,09,180.5
2021,10,186.0
2021,11,196.0
2021,12,201.0
2022,01,206.0
2022,02,213.5
2022,03,206.5
2022,04,199.0
2022,05,201.0
2022,06,206.0
2022,07,238.0
2022,08,281.0
2022,09,289.0
2022,10,284.0
2022,11,290.0
2022,12,314.0
2023,01,344.0
2023,02,377.0
2023,03,375.0
2023,04,395.0
2023,05,469.0
2023,06,488.0
2023,07,494.0
2023,08,558.0
2023,09,730.0
2023,10,798.0
2023,11,915.0
2023,12,955.0
2024,01,1015.0
2024,02,1185.0
2024,03,1040.0
2024,04,1005.0
2024,05,1040.0
2024,06,1235.0
2024,07,1405.0
2024,08,1380.0
